,high,low,vwap,open,close,previousClose,change,percentage,average,baseVolume,quoteVolume
63,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
64,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
65,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
66,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
67,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
68,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
69,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
70,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
71,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
72,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.907,5382104601.13
73,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.907,5382104601.13
74,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.887,5382104014.77
75,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.907,5382104601.13
76,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.907,5382104601.13
77,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.907,5382104601.13
78,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.907,5382104601.13
79,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.907,5382104601.13
80,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.907,5382104601.13
81,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.953,5382105949.76
82,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.907,5382104601.13
83,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.907,5382104601.13
84,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.953,5382105949.76
85,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.907,5382104601.13
86,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.953,5382105949.76
87,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.953,5382105949.76
88,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.953,5382105949.76
89,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.953,5382105949.76
90,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.907,5382104601.13
91,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.953,5382105949.76
92,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.953,5382105949.76
93,29492.1,29233.0,29363.41,29420.3,29318.0,,-102.3,-0.348,29369.15,183292.953,5382105949.76
